date,product_name,category,brand,quantity_sold,price_per_quantity,total_price
2024-03-31,DoveShampoo,Shampoo,Dove,80,36.06,2884.8
2024-03-03,ParrysSugar,Sugar,Parrys,89,24.75,2202.75
2024-03-16,SakthiVegMasala,VegMasala,Sakthi,85,33.47,2844.95
2024-03-14,KnorrNoodles,Noodles,Knorr,74,78.86,5835.64
2024-03-21,CadburyChocolate,Chocolate,Cadbury,79,90.81,7173.99
2024-03-25,NutrichoiceBiscuit,Biscuit,Nutrichoice,44,29.85,1313.4
2024-03-16,KhidriDates,Dates,Khidri,85,26.09,2217.65
2024-03-07,BasmatiRice,Rice,Basmati,7,11.87,83.08999999999999
2024-03-01,OhmsKetchup,Ketchup,Ohms,63,76.31,4807.53
2024-03-15,PatanjaliRice,Rice,Patanjali,85,66.86,5683.1
2024-03-04,WhikasCatFood,CatFood,Whikas,36,30.45,1096.2
2024-03-14,EverestChickenMasala,ChickenMasala,Everest,33,75.33,2485.89
2024-03-14,CountryBeanCoffee,Coffee,CountryBean,53,75.89,4022.17
2024-03-23,SaffolaOil,Oil,Saffola,11,10.98,120.78
2024-03-08,SakthiVegMasala,VegMasala,Sakthi,48,21.2,1017.5999999999999
2024-03-08,RinDetergent,Detergent,Rin,14,18.76,262.64000000000004
2024-03-09,LittleHeartsBiscuit,Biscuit,LittleHearts,97,33.16,3216.5199999999995
2024-03-29,FortuneOil,Oil,Fortune,73,68.42,4994.66
2024-03-14,VedakaPasta,Pasta,Vedaka,87,35.31,3071.9700000000003
2024-03-24,3RosesTea,Tea,3Roses,65,11.85,770.25
2024-03-04,TideDetergent,Detergent,Tide,76,83.18,6321.68
2024-03-11,SunsilkShampoo,Shampoo,Sunsilk,9,86.17,775.53
2024-03-04,FarmelyWalnuts,Walnuts,Farmely,60,99.22,5953.2
2024-03-25,MindfulAlmonds,Almonds,Mindful,7,15.32,107.24000000000001
2024-03-08,SunflowerOil,Oil,Sunflower,89,29.62,2636.1800000000003
2024-03-07,TajMahalTea,Tea,TajMahal,70,29.13,2039.1
2024-03-26,FortuneOil,Oil,Fortune,8,10.68,85.44
2024-03-12,PatanjaliFlour,Flour,Patanjali,11,63.63,699.9300000000001
2024-03-30,HeinzKetchup,Ketchup,Heinz,83,10.97,910.5100000000001
2024-03-08,IndiaGateRice,Rice,IndiaGate,6,75.56,453.36
2024-03-25,WhikasCatFood,CatFood,Whikas,68,82.08,5581.44
2024-03-12,SaffolaOil,Oil,Saffola,98,46.0,4508.0
2024-03-21,HamamSanitizer,Sanitizer,Hamam,9,70.91,638.1899999999999
2024-03-11,HersheyChocolate,Chocolate,Hershey,98,67.05,6570.9
2024-03-16,SunsilkShampoo,Shampoo,Sunsilk,2,74.69,149.38
2024-03-20,MadhurSugar,Sugar,Madhur,55,42.58,2341.9
2024-03-01,NutrichoiceBiscuit,Biscuit,Nutrichoice,84,93.08,7818.72
2024-03-02,MdhChickenMasala,ChickenMasala,Mdh,68,89.16,6062.88
2024-03-31,MdhChickenMasala,ChickenMasala,Mdh,62,95.78,5938.36
2024-03-21,AachiVegMasala,VegMasala,Aachi,76,95.49,7257.24
2024-03-12,ParrysSugar,Sugar,Parrys,67,68.85,4612.95
2024-03-05,KnorrNoodles,Noodles,Knorr,69,86.38,5960.219999999999
2024-03-09,PopcornMix,PopcornMix,,75,26.58,1993.4999999999998
2024-03-14,EverestChickenMasala,ChickenMasala,Everest,37,94.35,3490.95
2024-03-05,CountryBeanCoffee,Coffee,CountryBean,6,64.42,386.52
2024-03-26,MdhChickenMasala,ChickenMasala,Mdh,36,61.96,2230.56
2024-03-02,FarmelyWalnuts,Walnuts,Farmely,99,41.07,4065.93
2024-03-08,FarmelyWalnuts,Walnuts,Farmely,97,26.24,2545.2799999999997
2024-03-04,LittleHeartsBiscuit,Biscuit,LittleHearts,31,92.24,2859.44
2024-03-03,BrazilNutsAlmonds,Almonds,BrazilNuts,35,13.63,477.05
2024-03-13,AjwaDates,Dates,Ajwa,93,87.24,8113.32
2024-03-11,ActIIPopcornMix,PopcornMix,ActII,29,57.81,1676.49
2024-03-25,KnorrNoodles,Noodles,Knorr,93,81.19,7550.67
2024-03-29,KnorrNoodles,Noodles,Knorr,77,92.81,7146.37
2024-03-25,MaggieNoodles,Noodles,Maggie,61,73.83,4503.63
2024-03-18,FelineFeastCatFood,CatFood,FelineFeast,96,39.8,3820.7999999999997
2024-03-05,MTRVegMasala,VegMasala,MTR,36,62.35,2244.6
2024-03-31,WhikasCatFood,CatFood,Whikas,54,10.45,564.3
2024-03-18,SaffolaOil,Oil,Saffola,86,65.34,5619.240000000001
2024-03-18,PopcornMix,PopcornMix,,11,97.18,1068.98
2024-03-11,AashirvadSalt,Salt,Aashirvad,31,27.51,852.8100000000001
2024-03-06,HeinzKetchup,Ketchup,Heinz,67,81.8,5480.599999999999
2024-03-19,MdhChickenMasala,ChickenMasala,Mdh,44,13.23,582.12
2024-03-30,DelMontePasta,Pasta,DelMonte,95,17.97,1707.1499999999999
2024-03-09,FortuneOil,Oil,Fortune,71,36.16,2567.3599999999997
2024-03-13,PopcornMix,PopcornMix,,29,80.47,2333.63
2024-03-21,HamamSanitizer,Sanitizer,Hamam,52,88.67,4610.84
2024-03-27,OreoBiscuit,Biscuit,Oreo,91,45.43,4134.13
2024-03-30,MdhChickenMasala,ChickenMasala,Mdh,28,39.69,1111.32
2024-03-06,KissanKetchup,Ketchup,Kissan,97,68.24,6619.28
2024-03-25,OatsBreakfast,Breakfast,Oats,63,66.96,4218.48
2024-03-01,BambinoPasta,Pasta,Bambino,40,92.53,3701.2
2024-03-02,KissanKetchup,Ketchup,Kissan,21,13.6,285.59999999999997
2024-03-31,NutrigrainFlour,Flour,Nutrigrain,31,79.92,2477.52
2024-03-10,HeinzKetchup,Ketchup,Heinz,78,47.04,3669.12
2024-03-02,MdhChickenMasala,ChickenMasala,Mdh,40,41.27,1650.8000000000002
2024-03-30,RamenNoodles,Noodles,Ramen,82,10.17,833.9399999999999
2024-03-20,AachiVegMasala,VegMasala,Aachi,72,19.6,1411.2
2024-03-15,TataSalt,Salt,Tata,30,35.06,1051.8000000000002
2024-03-16,ActIIPopcornMix,PopcornMix,ActII,53,17.07,904.71
2024-03-10,KhidriDates,Dates,Khidri,72,13.16,947.52
2024-03-28,SakthiVegMasala,VegMasala,Sakthi,20,51.86,1037.2
2024-03-07,MindfulAlmonds,Almonds,Mindful,83,74.94,6220.0199999999995
2024-03-20,CadburyChocolate,Chocolate,Cadbury,86,47.94,4122.84
2024-03-18,VedakaPasta,Pasta,Vedaka,48,32.74,1571.52
2024-03-06,SakthiVegMasala,VegMasala,Sakthi,70,14.33,1003.1
2024-03-06,PatanjaliFlour,Flour,Patanjali,5,74.58,372.9
2024-03-11,HersheyChocolate,Chocolate,Hershey,81,77.7,6293.7
2024-03-07,KhidriDates,Dates,Khidri,68,19.62,1334.16
2024-03-04,SurfExcelDetergent,Detergent,SurfExcel,76,52.36,3979.36
2024-03-07,PatanjaliRice,Rice,Patanjali,22,81.47,1792.34
2024-03-29,CranberryWalnuts,Walnuts,Cranberry,22,76.43,1681.46
2024-03-22,KnorrNoodles,Noodles,Knorr,51,48.64,2480.64
2024-03-24,TideDetergent,Detergent,Tide,14,30.57,427.98
2024-03-17,HersheyChocolate,Chocolate,Hershey,90,30.16,2714.4
2024-03-25,RinDetergent,Detergent,Rin,45,48.72,2192.4
2024-03-14,LagomWalnuts,Walnuts,Lagom,77,32.5,2502.5
2024-03-29,MdhChickenMasala,ChickenMasala,Mdh,1,69.47,69.47
2024-03-15,TajMahalTea,Tea,TajMahal,42,85.97,3610.74
2024-03-08,HamamSanitizer,Sanitizer,Hamam,72,37.12,2672.64
2024-03-18,RamenNoodles,Noodles,Ramen,56,83.57,4679.92
2024-03-14,MTRVegMasala,VegMasala,MTR,19,30.27,575.13
2024-03-16,PopcornMix,PopcornMix,,47,32.82,1542.54
2024-03-12,RamenNoodles,Noodles,Ramen,1,21.77,21.77
2024-03-25,EverestChickenMasala,ChickenMasala,Everest,90,84.67,7620.3
2024-03-03,OreoBiscuit,Biscuit,Oreo,100,32.57,3257.0
2024-03-15,NescafeCoffee,Coffee,Nescafe,58,81.42,4722.36
2024-03-20,OatsBreakfast,Breakfast,Oats,2,39.44,78.88
2024-03-07,PatanjaliSalt,Salt,Patanjali,92,76.32,7021.44
2024-03-30,VedakaPasta,Pasta,Vedaka,42,33.19,1393.98
2024-03-19,TataSalt,Salt,Tata,16,46.97,751.52
2024-03-17,DelMontePasta,Pasta,DelMonte,21,50.29,1056.09
2024-03-10,DailyCrunchAlmonds,Almonds,DailyCrunch,71,50.09,3556.3900000000003
2024-03-25,MadhurSugar,Sugar,Madhur,5,37.54,187.7
2024-03-11,MadhurSugar,Sugar,Madhur,74,69.2,5120.8
2024-03-23,IndiaGateRice,Rice,IndiaGate,65,88.0,5720.0
2024-03-19,NutrichoiceBiscuit,Biscuit,Nutrichoice,90,13.17,1185.3
2024-03-30,ContinentalCoffee,Coffee,Continental,46,15.96,734.1600000000001
2024-03-24,MdhChickenMasala,ChickenMasala,Mdh,56,26.82,1501.92
2024-03-18,BrazilNutsAlmonds,Almonds,BrazilNuts,38,23.11,878.18
2024-03-24,BasmatiRice,Rice,Basmati,41,79.56,3261.96
2024-03-24,ActIIPopcornMix,PopcornMix,ActII,33,61.76,2038.08
2024-03-27,ContinentalCoffee,Coffee,Continental,60,67.05,4023.0
2024-03-24,SunflowerOil,Oil,Sunflower,57,42.64,2430.48
2024-03-27,AshirvadFlour,Flour,Ashirvad,16,69.09,1105.44
2024-03-12,Head&ShouldersShampoo,Shampoo,Head&Shoulders,29,42.27,1225.8300000000002
2024-03-20,OatsBreakfast,Breakfast,Oats,84,75.15,6312.6
2024-03-02,LiptonTea,Tea,Lipton,62,98.74,6121.88
2024-03-19,ContinentalCoffee,Coffee,Continental,82,89.5,7339.0
2024-03-03,SurfExcelDetergent,Detergent,SurfExcel,14,60.19,842.66
2024-03-17,HeinzKetchup,Ketchup,Heinz,17,82.56,1403.52
2024-03-29,ActIIPopcornMix,PopcornMix,ActII,79,66.38,5244.0199999999995
2024-03-10,MdhChickenMasala,ChickenMasala,Mdh,83,29.49,2447.67
2024-03-19,EasternChickenMasala,ChickenMasala,Eastern,7,69.13,483.90999999999997
2024-03-17,DettolSanitizer,Sanitizer,Dettol,98,56.74,5560.52
2024-03-26,KissanKetchup,Ketchup,Kissan,29,22.64,656.5600000000001
2024-03-23,NutrigrainFlour,Flour,Nutrigrain,38,78.95,3000.1
